slug,name,tier,has_guide,parent_slug,page_type,intent,planned_url,seed_keywords
la-jolla,La Jolla,1,yes,,living,community-guide,/neighborhoods/la-jolla/,"living in la jolla; la jolla neighborhood guide; what is it like to live in la jolla; la jolla san diego living; la jolla area guide"
la-jolla,La Jolla,1,yes,,moving-to,relocation,/neighborhoods/la-jolla/moving-to/,"moving to la jolla; relocating to la jolla; move to la jolla san diego; la jolla relocation guide; buying a home in la jolla"
la-jolla,La Jolla,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/la-jolla/homes-for-sale/,"la jolla homes for sale; la jolla real estate; la jolla houses for sale; homes for sale la jolla san diego; la jolla property for sale"
la-jolla,La Jolla,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/la-jolla/condos-for-sale/,"la jolla condos for sale; la jolla condominiums; la jolla townhomes for sale; la jolla condo listings; la jolla village condos"
pacific-beach,Pacific Beach,1,yes,,living,community-guide,/neighborhoods/pacific-beach/,"living in pacific beach; pacific beach san diego guide; pacific beach neighborhood; what is pacific beach like; pb san diego living"
pacific-beach,Pacific Beach,1,yes,,moving-to,relocation,/neighborhoods/pacific-beach/moving-to/,"moving to pacific beach; relocating to pacific beach san diego; move to pacific beach; pacific beach relocation"
pacific-beach,Pacific Beach,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/pacific-beach/homes-for-sale/,"pacific beach homes for sale; pacific beach real estate; pb san diego homes for sale; houses for sale pacific beach"
pacific-beach,Pacific Beach,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/pacific-beach/condos-for-sale/,"pacific beach condos for sale; pacific beach condominiums; pb condos san diego; pacific beach townhomes for sale"
university-city,University City / UTC,1,yes,,living,community-guide,/neighborhoods/university-city/,"living in university city san diego; utc san diego neighborhood; university city guide; living near ucsd; utc area guide"
university-city,University City / UTC,1,yes,,moving-to,relocation,/neighborhoods/university-city/moving-to/,"moving to university city; relocating to utc san diego; move near ucsd; university city relocation guide"
university-city,University City / UTC,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/university-city/homes-for-sale/,"university city homes for sale; utc san diego homes for sale; university city real estate; homes for sale near ucsd"
university-city,University City / UTC,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/university-city/condos-for-sale/,"university city condos for sale; utc condos san diego; university city townhomes; utc condominiums for sale"
clairemont,Clairemont,1,yes,,living,community-guide,/neighborhoods/clairemont/,"living in clairemont san diego; clairemont neighborhood guide; clairemont area; what is clairemont like; clairemont san diego living"
clairemont,Clairemont,1,yes,,moving-to,relocation,/neighborhoods/clairemont/moving-to/,"moving to clairemont; relocating to clairemont san diego; move to clairemont; clairemont relocation guide"
clairemont,Clairemont,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/clairemont/homes-for-sale/,"clairemont homes for sale; clairemont san diego real estate; houses for sale clairemont; clairemont property for sale"
clairemont,Clairemont,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/clairemont/condos-for-sale/,"clairemont condos for sale; clairemont townhomes for sale; clairemont condominiums san diego"
mission-valley,Mission Valley,1,yes,,living,community-guide,/neighborhoods/mission-valley/,"living in mission valley; mission valley san diego guide; mission valley neighborhood; what is mission valley like"
mission-valley,Mission Valley,1,yes,,moving-to,relocation,/neighborhoods/mission-valley/moving-to/,"moving to mission valley; relocating to mission valley san diego; move to mission valley; mission valley relocation"
mission-valley,Mission Valley,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/mission-valley/homes-for-sale/,"mission valley homes for sale; mission valley real estate; houses for sale mission valley san diego"
mission-valley,Mission Valley,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/mission-valley/condos-for-sale/,"mission valley condos for sale; mission valley condominiums; mission valley townhomes for sale"
del-mar,Del Mar,1,yes,,living,community-guide,/neighborhoods/del-mar/,"living in del mar; del mar san diego guide; del mar neighborhood; what is del mar like; del mar coastal living"
del-mar,Del Mar,1,yes,,moving-to,relocation,/neighborhoods/del-mar/moving-to/,"moving to del mar; relocating to del mar san diego; move to del mar; del mar relocation guide"
del-mar,Del Mar,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/del-mar/homes-for-sale/,"del mar homes for sale; del mar real estate; del mar houses for sale; del mar san diego property"
del-mar,Del Mar,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/del-mar/condos-for-sale/,"del mar condos for sale; del mar condominiums; del mar townhomes for sale"
carmel-valley,Carmel Valley,1,yes,,living,community-guide,/neighborhoods/carmel-valley/,"living in carmel valley; carmel valley san diego guide; carmel valley neighborhood; carmel valley family area"
carmel-valley,Carmel Valley,1,yes,,moving-to,relocation,/neighborhoods/carmel-valley/moving-to/,"moving to carmel valley; relocating to carmel valley san diego; move to carmel valley; carmel valley relocation"
carmel-valley,Carmel Valley,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/carmel-valley/homes-for-sale/,"carmel valley homes for sale; carmel valley real estate; houses for sale carmel valley san diego"
carmel-valley,Carmel Valley,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/carmel-valley/condos-for-sale/,"carmel valley condos for sale; carmel valley townhomes; carmel valley condominiums san diego"
point-loma,Point Loma,1,yes,,living,community-guide,/neighborhoods/point-loma/,"living in point loma; point loma san diego guide; point loma neighborhood; what is point loma like"
point-loma,Point Loma,1,yes,,moving-to,relocation,/neighborhoods/point-loma/moving-to/,"moving to point loma; relocating to point loma san diego; move to point loma; point loma relocation guide"
point-loma,Point Loma,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/point-loma/homes-for-sale/,"point loma homes for sale; point loma real estate; houses for sale point loma san diego"
point-loma,Point Loma,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/point-loma/condos-for-sale/,"point loma condos for sale; liberty station condos; point loma condominiums for sale"
sorrento-valley,Sorrento Valley / Sorrento Mesa,1,yes,,living,community-guide,/neighborhoods/sorrento-valley/,"living in sorrento valley; sorrento mesa san diego guide; sorrento valley neighborhood; living near biotech corridor"
sorrento-valley,Sorrento Valley / Sorrento Mesa,1,yes,,moving-to,relocation,/neighborhoods/sorrento-valley/moving-to/,"moving to sorrento valley; relocating to sorrento mesa; move to sorrento valley san diego; sorrento valley relocation"
sorrento-valley,Sorrento Valley / Sorrento Mesa,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/sorrento-valley/homes-for-sale/,"sorrento valley homes for sale; sorrento mesa real estate; sorrento valley houses for sale"
sorrento-valley,Sorrento Valley / Sorrento Mesa,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/sorrento-valley/condos-for-sale/,"sorrento valley condos for sale; sorrento mesa condos; sorrento valley townhomes for sale"
bay-park,Bay Park,2,yes,,living,community-guide,/neighborhoods/bay-park/,"living in bay park san diego; bay park neighborhood guide; bay park area; what is bay park like"
bay-park,Bay Park,2,yes,,moving-to,relocation,/neighborhoods/bay-park/moving-to/,"moving to bay park; relocating to bay park san diego; move to bay park; bay park relocation"
bay-park,Bay Park,2,yes,,homes-for-sale,homes-for-sale,/neighborhoods/bay-park/homes-for-sale/,"bay park homes for sale; bay park san diego real estate; houses for sale bay park"
ocean-beach,Ocean Beach,2,yes,,living,community-guide,/neighborhoods/ocean-beach/,"living in ocean beach; ocean beach san diego guide; ob san diego neighborhood; what is ocean beach like"
ocean-beach,Ocean Beach,2,yes,,moving-to,relocation,/neighborhoods/ocean-beach/moving-to/,"moving to ocean beach; relocating to ocean beach san diego; move to ob san diego; ocean beach relocation"
ocean-beach,Ocean Beach,2,yes,,homes-for-sale,homes-for-sale,/neighborhoods/ocean-beach/homes-for-sale/,"ocean beach homes for sale; ob san diego real estate; houses for sale ocean beach"
hillcrest,Hillcrest,2,yes,,living,community-guide,/neighborhoods/hillcrest/,"living in hillcrest san diego; hillcrest neighborhood guide; hillcrest area; walkable hillcrest living"
hillcrest,Hillcrest,2,yes,,moving-to,relocation,/neighborhoods/hillcrest/moving-to/,"moving to hillcrest; relocating to hillcrest san diego; move to hillcrest; hillcrest relocation guide"
hillcrest,Hillcrest,2,yes,,homes-for-sale,homes-for-sale,/neighborhoods/hillcrest/homes-for-sale/,"hillcrest homes for sale; hillcrest san diego real estate; hillcrest condos and homes"
hillcrest,Hillcrest,2,yes,,condos-for-sale,homes-for-sale,/neighborhoods/hillcrest/condos-for-sale/,"hillcrest condos for sale; hillcrest condominiums san diego; hillcrest townhomes for sale"
north-park,North Park,2,yes,,living,community-guide,/neighborhoods/north-park/,"living in north park san diego; north park neighborhood guide; north park area; what is north park like"
north-park,North Park,2,yes,,moving-to,relocation,/neighborhoods/north-park/moving-to/,"moving to north park; relocating to north park san diego; move to north park; north park relocation"
north-park,North Park,2,yes,,homes-for-sale,homes-for-sale,/neighborhoods/north-park/homes-for-sale/,"north park homes for sale; north park san diego real estate; houses for sale north park"
bay-ho,Bay Ho,2,no,bay-park,living,community-guide,/neighborhoods/bay-ho/,"living in bay ho san diego; bay ho neighborhood; bay ho area guide; bay ho near mission bay"
bay-ho,Bay Ho,2,no,bay-park,homes-for-sale,homes-for-sale,/neighborhoods/bay-ho/homes-for-sale/,"bay ho homes for sale; bay ho san diego real estate; houses for sale bay ho"
north-clairemont,North Clairemont,2,no,clairemont,living,community-guide,/neighborhoods/north-clairemont/,"living in north clairemont; north clairemont san diego; north clairemont neighborhood guide"
north-clairemont,North Clairemont,2,no,clairemont,homes-for-sale,homes-for-sale,/neighborhoods/north-clairemont/homes-for-sale/,"north clairemont homes for sale; north clairemont real estate; houses for sale north clairemont"
kearny-mesa,Kearny Mesa,2,no,clairemont,living,community-guide,/neighborhoods/kearny-mesa/,"living in kearny mesa; kearny mesa san diego guide; kearny mesa neighborhood; kearny mesa area"
kearny-mesa,Kearny Mesa,2,no,clairemont,homes-for-sale,homes-for-sale,/neighborhoods/kearny-mesa/homes-for-sale/,"kearny mesa homes for sale; kearny mesa real estate; houses for sale kearny mesa san diego"
linda-vista,Linda Vista,2,no,mission-valley,living,community-guide,/neighborhoods/linda-vista/,"living in linda vista san diego; linda vista neighborhood guide; linda vista area; near usd linda vista"
linda-vista,Linda Vista,2,no,mission-valley,homes-for-sale,homes-for-sale,/neighborhoods/linda-vista/homes-for-sale/,"linda vista homes for sale; linda vista san diego real estate; houses for sale linda vista"
mission-hills,Mission Hills,2,no,hillcrest,living,community-guide,/neighborhoods/mission-hills/,"living in mission hills san diego; mission hills neighborhood; mission hills historic homes area"
mission-hills,Mission Hills,2,no,hillcrest,homes-for-sale,homes-for-sale,/neighborhoods/mission-hills/homes-for-sale/,"mission hills homes for sale; mission hills san diego real estate; mission hills houses for sale"
torrey-pines,Torrey Pines,2,no,la-jolla,living,community-guide,/neighborhoods/torrey-pines/,"living in torrey pines; torrey pines san diego area; torrey pines neighborhood guide; near torrey pines golf"
torrey-pines,Torrey Pines,2,no,la-jolla,homes-for-sale,homes-for-sale,/neighborhoods/torrey-pines/homes-for-sale/,"torrey pines homes for sale; torrey pines real estate; houses for sale torrey pines san diego"
del-mar-heights,Del Mar Heights,2,no,del-mar,living,community-guide,/neighborhoods/del-mar-heights/,"living in del mar heights; del mar heights neighborhood; del mar heights san diego guide"
del-mar-heights,Del Mar Heights,2,no,del-mar,homes-for-sale,homes-for-sale,/neighborhoods/del-mar-heights/homes-for-sale/,"del mar heights homes for sale; del mar heights real estate; houses for sale del mar heights"
torrey-hills,Torrey Hills,2,no,carmel-valley,living,community-guide,/neighborhoods/torrey-hills/,"living in torrey hills; torrey hills san diego; torrey hills neighborhood guide; torrey hills family area"
torrey-hills,Torrey Hills,2,no,carmel-valley,homes-for-sale,homes-for-sale,/neighborhoods/torrey-hills/homes-for-sale/,"torrey hills homes for sale; torrey hills real estate; houses for sale torrey hills san diego"
civita,Civita,2,no,mission-valley,living,community-guide,/neighborhoods/civita/,"living in civita san diego; civita neighborhood; civita mission valley community; civita master planned"
civita,Civita,2,no,mission-valley,homes-for-sale,homes-for-sale,/neighborhoods/civita/homes-for-sale/,"civita homes for sale; civita san diego real estate; new homes civita mission valley"
serra-mesa,Serra Mesa,2,no,mission-valley,living,community-guide,/neighborhoods/serra-mesa/,"living in serra mesa; serra mesa san diego guide; serra mesa neighborhood; serra mesa area"
serra-mesa,Serra Mesa,2,no,mission-valley,homes-for-sale,homes-for-sale,/neighborhoods/serra-mesa/homes-for-sale/,"serra mesa homes for sale; serra mesa real estate; houses for sale serra mesa san diego"
la-jolla-cove,La Jolla Cove,3,no,la-jolla,living,community-guide,/neighborhoods/la-jolla-cove/,"living near la jolla cove; la jolla cove area; la jolla cove san diego guide; la jolla cove neighborhood"
la-jolla-cove,La Jolla Cove,3,no,la-jolla,homes-for-sale,homes-for-sale,/neighborhoods/la-jolla-cove/homes-for-sale/,"la jolla cove homes for sale; homes near la jolla cove; la jolla cove real estate"
la-jolla-shores,La Jolla Shores,3,no,la-jolla,living,community-guide,/neighborhoods/la-jolla-shores/,"living in la jolla shores; la jolla shores neighborhood; la jolla shores beach area guide"
la-jolla-shores,La Jolla Shores,3,no,la-jolla,homes-for-sale,homes-for-sale,/neighborhoods/la-jolla-shores/homes-for-sale/,"la jolla shores homes for sale; la jolla shores real estate; beach homes la jolla shores"
la-jolla-village,La Jolla Village,3,no,la-jolla,living,community-guide,/neighborhoods/la-jolla-village/,"la jolla village guide; living in la jolla village; la jolla village neighborhood; la jolla downtown village"
la-jolla-village,La Jolla Village,3,no,la-jolla,homes-for-sale,homes-for-sale,/neighborhoods/la-jolla-village/homes-for-sale/,"la jolla village homes for sale; la jolla village condos; la jolla village real estate"
bird-rock,Bird Rock,3,no,la-jolla,living,community-guide,/neighborhoods/bird-rock/,"living in bird rock la jolla; bird rock neighborhood; bird rock la jolla guide; bird rock area san diego"
bird-rock,Bird Rock,3,no,la-jolla,homes-for-sale,homes-for-sale,/neighborhoods/bird-rock/homes-for-sale/,"bird rock homes for sale; bird rock la jolla real estate; houses for sale bird rock"
muirlands,Muirlands,3,no,la-jolla,living,community-guide,/neighborhoods/muirlands/,"living in muirlands la jolla; muirlands neighborhood; muirlands la jolla guide; muirlands hillside homes"
muirlands,Muirlands,3,no,la-jolla,homes-for-sale,homes-for-sale,/neighborhoods/muirlands/homes-for-sale/,"muirlands homes for sale; muirlands la jolla real estate; muirlands houses for sale"
mount-soledad,Mount Soledad,3,no,la-jolla,living,community-guide,/neighborhoods/mount-soledad/,"living on mount soledad; mount soledad la jolla area; mount soledad neighborhood guide; mount soledad views"
mount-soledad,Mount Soledad,3,no,la-jolla,homes-for-sale,homes-for-sale,/neighborhoods/mount-soledad/homes-for-sale/,"mount soledad homes for sale; mount soledad la jolla real estate; homes with soledad views"
windansea,Windansea,3,no,la-jolla,living,community-guide,/neighborhoods/windansea/,"living in windansea la jolla; windansea neighborhood; windansea beach area; windansea surf community"
windansea,Windansea,3,no,la-jolla,homes-for-sale,homes-for-sale,/neighborhoods/windansea/homes-for-sale/,"windansea homes for sale; windansea la jolla real estate; beach homes windansea"
crown-point,Crown Point,3,no,pacific-beach,living,community-guide,/neighborhoods/crown-point/,"living in crown point; crown point pacific beach guide; crown point neighborhood; crown point canals pb"
crown-point,Crown Point,3,no,pacific-beach,homes-for-sale,homes-for-sale,/neighborhoods/crown-point/homes-for-sale/,"crown point homes for sale; crown point pacific beach real estate; crown point pb homes"
mission-beach,Mission Beach,3,no,pacific-beach,living,community-guide,/neighborhoods/mission-beach/,"living in mission beach; mission beach san diego guide; mission beach neighborhood; mission beach boardwalk living"
mission-beach,Mission Beach,3,no,pacific-beach,homes-for-sale,homes-for-sale,/neighborhoods/mission-beach/homes-for-sale/,"mission beach homes for sale; mission beach real estate; houses for sale mission beach san diego"
mission-beach,Mission Beach,3,no,pacific-beach,condos-for-sale,homes-for-sale,/neighborhoods/mission-beach/condos-for-sale/,"mission beach condos for sale; mission beach condominiums; mission beach townhomes for sale"
mission-bay,Mission Bay,3,no,pacific-beach,living,community-guide,/neighborhoods/mission-bay/,"living near mission bay; mission bay san diego area guide; mission bay neighborhood; mission bay waterfront"
mission-bay,Mission Bay,3,no,pacific-beach,homes-for-sale,homes-for-sale,/neighborhoods/mission-bay/homes-for-sale/,"mission bay homes for sale; mission bay condos for sale; mission bay san diego real estate"
morena,Morena,3,no,bay-park,living,community-guide,/neighborhoods/morena/,"living in morena san diego; morena neighborhood guide; morena area; morena district san diego"
morena,Morena,3,no,bay-park,homes-for-sale,homes-for-sale,/neighborhoods/morena/homes-for-sale/,"morena homes for sale; morena san diego real estate; houses for sale morena"
old-town,Old Town San Diego,3,no,point-loma,living,community-guide,/neighborhoods/old-town/,"living in old town san diego; old town neighborhood guide; old town san diego area; near old town san diego"
old-town,Old Town San Diego,3,no,point-loma,homes-for-sale,homes-for-sale,/neighborhoods/old-town/homes-for-sale/,"old town san diego homes for sale; old town real estate; homes near old town san diego"
midway-district,Midway District,3,no,point-loma,living,community-guide,/neighborhoods/midway-district/,"living in midway district san diego; midway district neighborhood; midway area san diego guide"
midway-district,Midway District,3,no,point-loma,homes-for-sale,homes-for-sale,/neighborhoods/midway-district/homes-for-sale/,"midway district homes for sale; midway san diego real estate; midway district condos for sale"
point-loma-heights,Point Loma Heights,3,no,point-loma,living,community-guide,/neighborhoods/point-loma-heights/,"living in point loma heights; point loma heights neighborhood; point loma heights san diego guide"
point-loma-heights,Point Loma Heights,3,no,point-loma,homes-for-sale,homes-for-sale,/neighborhoods/point-loma-heights/homes-for-sale/,"point loma heights homes for sale; point loma heights real estate; houses for sale point loma heights"
university-heights,University Heights,3,no,hillcrest,living,community-guide,/neighborhoods/university-heights/,"living in university heights san diego; university heights neighborhood; university heights guide"
university-heights,University Heights,3,no,hillcrest,homes-for-sale,homes-for-sale,/neighborhoods/university-heights/homes-for-sale/,"university heights homes for sale; university heights san diego real estate; university heights condos"
normal-heights,Normal Heights,3,no,north-park,living,community-guide,/neighborhoods/normal-heights/,"living in normal heights; normal heights san diego guide; normal heights neighborhood; normal heights area"
normal-heights,Normal Heights,3,no,north-park,homes-for-sale,homes-for-sale,/neighborhoods/normal-heights/homes-for-sale/,"normal heights homes for sale; normal heights san diego real estate; houses for sale normal heights"
bankers-hill,Bankers Hill,3,no,hillcrest,living,community-guide,/neighborhoods/bankers-hill/,"living in bankers hill san diego; bankers hill neighborhood; bankers hill guide; near balboa park bankers hill"
bankers-hill,Bankers Hill,3,no,hillcrest,homes-for-sale,homes-for-sale,/neighborhoods/bankers-hill/homes-for-sale/,"bankers hill homes for sale; bankers hill san diego real estate; bankers hill condos for sale"
little-italy,Little Italy,3,no,downtown-san-diego,living,community-guide,/neighborhoods/little-italy/,"living in little italy san diego; little italy neighborhood guide; little italy san diego living; downtown little italy"
little-italy,Little Italy,3,no,downtown-san-diego,homes-for-sale,homes-for-sale,/neighborhoods/little-italy/homes-for-sale/,"little italy homes for sale; little italy condos san diego; little italy san diego real estate"
little-italy,Little Italy,3,no,downtown-san-diego,condos-for-sale,homes-for-sale,/neighborhoods/little-italy/condos-for-sale/,"little italy condos for sale; little italy condominiums san diego; downtown little italy condos"
downtown-san-diego,Downtown San Diego,3,no,hillcrest,living,community-guide,/neighborhoods/downtown-san-diego/,"living downtown san diego; downtown san diego neighborhood guide; downtown sd living; gaslamp downtown living"
downtown-san-diego,Downtown San Diego,3,no,hillcrest,homes-for-sale,homes-for-sale,/neighborhoods/downtown-san-diego/homes-for-sale/,"downtown san diego homes for sale; downtown san diego condos; downtown san diego real estate"
downtown-san-diego,Downtown San Diego,3,no,hillcrest,condos-for-sale,homes-for-sale,/neighborhoods/downtown-san-diego/condos-for-sale/,"downtown san diego condos for sale; downtown high rise condos; gaslamp condos for sale"
balboa-park,Balboa Park,3,no,hillcrest,living,community-guide,/neighborhoods/balboa-park/,"living near balboa park; balboa park san diego area guide; neighborhoods near balboa park; balboa park adjacent living"
balboa-park,Balboa Park,3,no,hillcrest,homes-for-sale,homes-for-sale,/neighborhoods/balboa-park/homes-for-sale/,"homes near balboa park san diego; balboa park area homes for sale; near balboa park real estate"
